x_mm,y_mm,z_mm,position_found,pose_found,best_position_error_mm,rcond,joint_margin_deg,orientation_error_deg,position_error_mm,status,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,target_roll_deg,target_pitch_deg,target_yaw_deg
-350.00000000000006,-300.00000000000006,100,0,0,79.16619402079516,,,,,position_unresolved,,,,,,,0,0,-139.39870535499551
-350.00000000000006,-300.00000000000006,150.00000000000003,0,0,82.187330768692505,,,,,position_unresolved,,,,,,,0,0,-139.39870535499551
-350.00000000000006,-250,-200,0,0,141.34455562544076,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-250,-150.00000000000003,0,0,113.58390131160048,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-250,-100,0,0,90.825954053950852,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-250,-50,0,0,72.687664274131805,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-250,0,0,0,59.39565939293859,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-250,50,0,0,51.386991219226474,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-250,100,0,0,48.950281281873913,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-250,150.00000000000003,0,0,52.177447530895876,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-250,200,0,0,60.947176116855452,,,,,position_unresolved,,,,,,,0,0,-144.46232220802563
-350.00000000000006,-200,-250,0,0,153.637607004053,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,-200,0,0,120.46162114390523,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,-150.00000000000003,0,0,91.223463832223359,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,-100,0,0,66.882353885798864,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,-50,0,0,47.75534184782294,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,0,0,0,33.683705832940994,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,50,0,0,25.180549761759028,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,100,0,0,22.589470368867044,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,150.00000000000003,0,0,26.020682940306909,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,200,0,0,35.328805031984622,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-200,250,0,0,50.141983946212022,,,,,position_unresolved,,,,,,,0,0,-150.25511870305778
-350.00000000000006,-150.00000000000003,-300.00000000000006,0,0,175.77207091308614,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,-250,0,0,138.2618322634504,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
-350.00000000000006,-150.00000000000003,-200,0,0,103.99632987801834,,,,,position_unresolved,,,,,,,0,0,-156.80140948635182
