constant_axis,constant_mm,total,position_found,pose_found,position_percent,pose_percent,pose_near_singular,orientation_unresolved,collision_candidates_only,position_unresolved,witness_margin_below_1deg,svg
Z,-300.000000,797,0,0,0.00000,0.00000,0,0,0,797,0,slices/Z_minus_300mm.svg
Z,-275.000000,877,0,0,0.00000,0.00000,0,0,0,877,0,slices/Z_minus_275mm.svg
Z,-250.000000,949,0,0,0.00000,0.00000,0,0,0,949,0,slices/Z_minus_250mm.svg
Z,-225.000000,997,74,0,7.42227,0.00000,0,74,0,923,31,slices/Z_minus_225mm.svg
Z,-200.000000,1049,269,0,25.64347,0.00000,0,269,0,780,40,slices/Z_minus_200mm.svg
Z,-175.000000,1101,368,0,33.42416,0.00000,0,368,0,733,32,slices/Z_minus_175mm.svg
Z,-150.000000,1137,454,0,39.92964,0.00000,0,454,0,683,27,slices/Z_minus_150mm.svg
Z,-125.000000,1185,520,0,43.88186,0.00000,0,520,0,665,18,slices/Z_minus_125mm.svg
Z,-100.000000,1201,580,0,48.29309,0.00000,0,580,0,621,20,slices/Z_minus_100mm.svg
Z,-75.000000,1225,628,0,51.26531,0.00000,0,628,0,597,29,slices/Z_minus_75mm.svg
Z,-50.000000,1237,665,82,53.75909,6.62894,0,583,1,571,34,slices/Z_minus_50mm.svg
Z,-25.000000,1245,689,109,55.34137,8.75502,2,580,9,547,43,slices/Z_minus_25mm.svg
Z,0.000000,1257,710,136,56.48369,10.81941,4,574,12,535,46,slices/Z_plus_0mm.svg
Z,25.000000,1245,730,152,58.63454,12.20884,4,578,18,497,34,slices/Z_plus_25mm.svg
Z,50.000000,1237,749,184,60.54972,14.87470,4,565,15,473,48,slices/Z_plus_50mm.svg
Z,75.000000,1225,753,189,61.46939,15.42857,0,564,16,456,48,slices/Z_plus_75mm.svg
Z,100.000000,1201,763,186,63.53039,15.48709,3,577,11,427,63,slices/Z_plus_100mm.svg
Z,125.000000,1185,758,189,63.96624,15.94937,7,569,8,419,58,slices/Z_plus_125mm.svg
Z,150.000000,1137,760,208,66.84257,18.29376,12,552,0,377,58,slices/Z_plus_150mm.svg
Z,175.000000,1101,742,219,67.39328,19.89101,9,523,0,359,41,slices/Z_plus_175mm.svg
Z,200.000000,1049,718,261,68.44614,24.88084,18,457,0,331,49,slices/Z_plus_200mm.svg
Z,225.000000,997,692,306,69.40822,30.69208,60,386,0,305,30,slices/Z_plus_225mm.svg
Z,250.000000,949,650,275,68.49315,28.97787,13,375,0,299,34,slices/Z_plus_250mm.svg
Z,275.000000,877,612,231,69.78335,26.33979,11,381,0,265,36,slices/Z_plus_275mm.svg
Z,300.000000,797,562,171,70.51443,21.45546,13,391,0,235,26,slices/Z_plus_300mm.svg
Z,325.000000,725,510,37,70.34483,5.10345,37,473,0,215,15,slices/Z_plus_325mm.svg
Z,350.000000,641,452,0,70.51482,0.00000,0,452,0,189,20,slices/Z_plus_350mm.svg
Z,375.000000,553,386,0,69.80108,0.00000,0,386,0,167,16,slices/Z_plus_375mm.svg
Z,400.000000,441,308,0,69.84127,0.00000,0,308,0,133,7,slices/Z_plus_400mm.svg
Z,425.000000,349,232,0,66.47564,0.00000,0,232,0,117,6,slices/Z_plus_425mm.svg
Z,450.000000,241,142,0,58.92116,0.00000,0,142,0,99,0,slices/Z_plus_450mm.svg
