run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,graph_revision,scene_id,catalog_index,scene_order_position,phase,obstacle_kind,stratum,query_id,start_joint_positions,target_position,target_source_joint_positions,requested_target_environment_node_id,requested_target_position,selected_target_environment_node_id,valid,exact_valid,reason,timeout,infrastructure_error,blocked_nodes,blocked_edges,planning_time_ms,publish_to_plan_ms,exact_checks,exact_replans,exact_time_ms,start_node_id,goal_node_id,target_distance,graph_cost,start_connection_cost,total_joint_path_cost,path_nodes,path_ids,preview_start_joints
10,3,9003,halton_prm,1,30,1,scene_005,5,2,clear,none,"{""difficulty"":""high"",""obstacle_kind"":""segment""}",143,"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]","[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]","[-0.8077631532677074,1.4835615271554126,-1.4581959606298902,0.3785138032566211,-1.4084514626399218,0.613324509477494]",1000050,"[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]",1000050,True,True,path_ready_exact_validated_preview_only,False,,0,0,6.081952,10.027391999756219,202,0,4.909120000000001,577,686,0.013627288677685112,13.055985837169851,1.2642746770130042,14.320260514182856,7,"[577,487,1,311,745,339,686]","[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]"
10,3,9003,halton_prm,1,30,1,scene_005,5,2,dynamic,segment,"{""difficulty"":""high"",""obstacle_kind"":""segment""}",144,"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]","[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]","[-0.8077631532677074,1.4835615271554126,-1.4581959606298902,0.3785138032566211,-1.4084514626399218,0.613324509477494]",1000050,"[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]",1000050,True,True,path_ready_exact_validated_preview_only,False,,29,464,20.692128,24.330751999514177,236,0,5.568192,577,686,0.013627288677685112,14.039500572943096,1.2642746770130042,15.3037752499561,7,"[577,482,531,257,644,339,686]","[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]"
10,3,9003,halton_prm,1,30,1,scene_000,0,3,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""point""}",133,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000000,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000000,True,True,path_ready_exact_validated_preview_only,False,,0,0,6.368544,9.552319999784231,225,0,5.306496000000005,61,658,0.03643809830711204,13.765136745131036,1.21986592472695,14.985002669857986,9,"[61,349,622,774,245,799,295,600,658]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
10,3,9003,halton_prm,1,30,1,scene_000,0,3,dynamic,point,"{""difficulty"":""low"",""obstacle_kind"":""point""}",134,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000000,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000000,True,True,path_ready_exact_validated_preview_only,False,,5,40,7.632448,10.147167999093654,225,0,5.19488,61,658,0.03643809830711204,13.765136745131036,1.21986592472695,14.985002669857986,9,"[61,349,622,774,245,799,295,600,658]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
10,3,9003,halton_prm,1,30,1,scene_001,1,4,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",135,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000010,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000010,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.970944,8.696064000105252,225,0,5.028416,61,658,0.03643809830711204,13.765136745131036,1.21986592472695,14.985002669857986,9,"[61,349,622,774,245,799,295,600,658]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
10,3,9003,halton_prm,1,30,1,scene_001,1,4,dynamic,segment,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",136,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000010,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000010,True,True,path_ready_exact_validated_preview_only,False,,9,58,13.447008,16.001695999875665,225,0,5.020672000000006,61,658,0.03643809830711204,13.765136745131036,1.21986592472695,14.985002669857986,9,"[61,349,622,774,245,799,295,600,658]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
10,3,9003,halton_prm,1,30,1,scene_002,2,5,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",137,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000020,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,2.051328,4.037248003442073,35,0,0.7291520000000001,262,4294967295,-1.0,-1.0,1.9945357324715232,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
10,3,9003,halton_prm,1,30,1,scene_002,2,5,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",138,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000020,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,4,27,3.265504,5.122943999595009,35,0,0.730016,262,4294967295,-1.0,-1.0,1.9945357324715232,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
11,3,9003,gng,2,31,1,scene_003,3,0,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""segment""}",115,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000030,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,1.75872,3.353183998115128,20,0,0.488736,314,4294967295,-1.0,-1.0,1.4311665875520085,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
11,3,9003,gng,2,31,1,scene_003,3,0,dynamic,segment,"{""difficulty"":""medium"",""obstacle_kind"":""segment""}",116,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000030,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,25,255,16.355424,18.66617599807796,20,0,0.46758400000000006,314,4294967295,-1.0,-1.0,1.4311665875520085,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
11,3,9003,gng,2,31,1,scene_004,4,1,clear,none,"{""difficulty"":""high"",""obstacle_kind"":""point""}",117,"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]","[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]","[-0.8077631532677074,1.4835615271554126,-1.4581959606298902,0.3785138032566211,-1.4084514626399218,0.613324509477494]",1000040,"[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]",1000040,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.387104,7.9733120001037605,197,0,4.120415999999998,348,276,0.03977034312024976,10.512876574765762,1.0812373456309228,11.594113920396685,7,"[348,250,191,304,476,293,276]","[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]"
11,3,9003,gng,2,31,1,scene_004,4,1,dynamic,point,"{""difficulty"":""high"",""obstacle_kind"":""point""}",118,"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]","[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]","[-0.8077631532677074,1.4835615271554126,-1.4581959606298902,0.3785138032566211,-1.4084514626399218,0.613324509477494]",1000040,"[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]",1000040,True,True,path_ready_exact_validated_preview_only,False,,20,303,9.031328,11.558144000446191,197,0,4.270528,348,276,0.03977034312024976,10.512876574765762,1.0812373456309228,11.594113920396685,7,"[348,250,191,304,476,293,276]","[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]"
